"_type","budget_dinner","budget_lunch","genre","name","reviewCount","score","score_dinner","score_lunch"
"dict","￥3,000～￥3,999","null","和食（その他）、居酒屋、しゃぶしゃぶ","
                霧乃個室 清郎 品川
              ","20","3.06","3.06","-"
"dict","￥5,000～￥5,999"," ～￥999","居酒屋、魚介料理・海鮮料理、鍋（その他）","
                ときしらず 品川店
              ","13","3.06","3.06","3.05"
"dict","￥10,000～￥14,999","￥8,000～￥9,999","寿司、懐石・会席料理、すき焼き","
                個室割烹 寿司北大路 品川店
              ","19","3.18","3.18","-"
"dict","￥5,000～￥5,999","￥1,000～￥1,999","ダイニングバー、カリフォルニア料理、ハンバーガー","
                ウルフギャング・パック　 PIZZA BAR アレア品川店
              ","38","3.15","3.11","3.09"
"dict","￥3,000～￥3,999","null","居酒屋、もつ鍋、郷土料理（その他）","
                九州黒太鼓 品川
              ","7","3.06","3.06","3.00"
"dict","￥4,000～￥4,999","null","居酒屋、鳥料理、もつ鍋","
                隠れ家個室居酒屋 鶏の久兵衛 品川本店
              ","39","3.43","3.43","-"
"dict","￥4,000～￥4,999","￥1,000～￥1,999","居酒屋、魚介料理・海鮮料理、そば","
                土風炉 夢町小路 品川店
              ","61","3.01","3.01","3.01"
"dict","￥5,000～￥5,999","￥1,000～￥1,999","居酒屋、魚介料理・海鮮料理、創作料理","
                美食 米門 品川店
              ","113","3.52","3.51","3.25"
"dict","￥2,000～￥2,999"," ～￥999","居酒屋、魚介料理・海鮮料理、餃子","
                居酒屋 三平
              ","29","3.02","3.03","3.01"
"dict","￥3,000～￥3,999","￥3,000～￥3,999","居酒屋、中国鍋・火鍋、鍋（その他）","
                品川ろくよん
              ","19","3.04","3.05","-"
"dict","￥2,000～￥2,999"," ～￥999","タイ料理、ベトナム料理、タイカレー","
                タイキッチン アロイ 天王洲アイル
              ","20","3.02","3.00","3.06"
"dict","￥3,000～￥3,999","null","居酒屋、ダイニングバー、鳥料理","
                地鶏個室居酒屋 吉竹 品川店
              ","15","3.26","3.26","-"
"dict","￥3,000～￥3,999"," ～￥999","居酒屋、日本酒バー、魚介料理・海鮮料理","
                升亀 品川店
              ","47","3.20","3.23","3.01"
"dict","￥5,000～￥5,999","￥1,000～￥1,999","居酒屋、魚介料理・海鮮料理、しゃぶしゃぶ","
                六献 品川店
              ","19","3.37","3.37","-"
"dict","￥4,000～￥4,999","￥3,000～￥3,999","居酒屋、しゃぶしゃぶ、焼肉","
                京都木村屋本店 港南一丁目
              ","8","3.02","3.00","3.03"
"dict","￥3,000～￥3,999","null","居酒屋、もつ鍋、餃子","
                九州 熱中屋 品川 LIVE
              ","28","3.07","3.07","3.06"
"dict","￥2,000～￥2,999","￥1,000～￥1,999","インド料理、インドカレー、東南アジア料理（その他）","
                デヴィ コーナー
              ","298","3.55","3.52","3.55"
"dict","￥3,000～￥3,999"," ～￥999","居酒屋、もつ鍋、餃子","
                九州 熱中屋 品川グランパサージュ LIVE
              ","13","3.03","3.04","3.00"
"dict","￥5,000～￥5,999","￥1,000～￥1,999","ステーキ、ダイニングバー、洋食","
                CASUAL STEAK HOUSE RIB
              ","17","3.09","3.09","3.07"
"dict","￥3,000～￥3,999","￥1,000～￥1,999","ダイニングバー、イタリアン、洋食","
                PIZZA ＆TAPAS cibo
              ","15","3.05","3.06","3.00"
"dict","￥3,000～￥3,999","￥2,000～￥2,999","イタリアン、バル・バール、ダイニングバー","
                Lepre
              ","11","3.03","3.03","3.01"
"dict","￥3,000～￥3,999","￥1,000～￥1,999","イタリアン、バル・バール、居酒屋","
                LICOT
              ","8","3.08","3.06","3.12"
"dict","￥5,000～￥5,999","￥1,000～￥1,999","割烹・小料理、居酒屋、焼酎バー","
                the ZEN
              ","73","3.06","3.01","3.26"
"dict","￥3,000～￥3,999","null","居酒屋、手羽先、鍋（その他）","
                秘伝手羽先唐揚げと本格焼き鳥専門店 鳥心 品川店
              ","45","3.06","3.07","-"
"dict","￥5,000～￥5,999","￥1,000～￥1,999","居酒屋、魚介料理・海鮮料理、懐石・会席料理","
                魚魯魚魯 品川インターシティ店
              ","31","3.23","3.30","3.01"
"dict","￥3,000～￥3,999","null","居酒屋、もつ鍋、しゃぶしゃぶ","
                芋蔵 品川店
              ","30","3.05","3.05","-"
"dict","￥3,000～￥3,999"," ～￥999","居酒屋、魚介料理・海鮮料理、鍋（その他）","
                隠れ家個室居酒屋 和人 品川店
              ","8","3.04","3.00","3.06"
"dict","￥10,000～￥14,999","￥2,000～￥2,999","懐石・会席料理、和食（その他）、釜飯","
                隠れ房 品川 四阿
              ","8","3.47","3.47","3.03"
"dict","￥4,000～￥4,999"," ～￥999","居酒屋、魚介料理・海鮮料理、日本酒バー","
                日本酒バル 蔵よし 品川店
              ","21","3.40","3.36","3.12"
"dict","￥5,000～￥5,999"," ～￥999","焼肉、ホルモン、鉄板焼き","
                炭火焼肉 有田牛 泉岳寺駅前店
              ","5","3.43","3.43","3.00"
"dict","￥3,000～￥3,999"," ～￥999","居酒屋、魚介料理・海鮮料理、寿司","
                居さかな屋 みよし
              ","31","3.18","3.19","3.09"
"dict","￥6,000～￥7,999","￥1,000～￥1,999","ダイニングバー、その他肉料理、懐石・会席料理","
                美食米門  品川港南 Ｗｉｎｅ＆Ｇｒｉｌｌ
              ","34","3.16","3.16","3.07"
"dict","￥4,000～￥4,999"," ～￥999","居酒屋、郷土料理（その他）、和食（その他）","
                龍馬街道 品川
              ","48","3.09","3.09","3.00"
"dict","￥3,000～￥3,999","￥3,000～￥3,999","居酒屋、和食（その他）、鳥料理","
                地鶏と個室居酒屋 辻留
              ","8","3.08","3.08","-"
"dict","￥4,000～￥4,999","null","オイスターバー、居酒屋、魚介料理・海鮮料理","
                品川牡蠣入レ時
              ","47","3.54","3.54","-"
"dict","￥3,000～￥3,999"," ～￥999","居酒屋、魚介料理・海鮮料理、寿司","
                鰓呼吸 品川
              ","14","3.03","3.04","3.00"
"dict","￥5,000～￥5,999","￥1,000～￥1,999","焼肉","
                USHIHACHI 品川港南口店
              ","46","3.30","3.18","3.26"
"dict","￥3,000～￥3,999"," ～￥999","居酒屋、しゃぶしゃぶ、もつ鍋","
                九州桜 品川店
              ","16","3.00","3.00","3.03"
"dict","￥4,000～￥4,999"," ～￥999","ダイニングバー、四川料理","
                新荘園 ブライトタワー大崎店
              ","12","3.05","3.05","3.00"
"dict","￥2,000～￥2,999","￥1,000～￥1,999","ネパール料理、鍋（その他）、カレー（その他）","
                レッサムフィリリ 高輪店(本店)
              ","48","3.36","3.33","3.24"
"dict","￥3,000～￥3,999"," ～￥999","居酒屋、焼鳥、鍋（その他）","
                そじ坊 品川インターシティ店
              ","17","3.02","3.01","3.02"
"dict","￥4,000～￥4,999","￥1,000～￥1,999","牛タン、もつ鍋、居酒屋","
                牛タン 圭助 品川港南口
              ","73","3.08","3.00","3.10"
"dict","￥3,000～￥3,999","null","居酒屋、焼鳥、もつ鍋","
                腹黒屋 品川
              ","46","3.44","3.44","-"
"dict","￥3,000～￥3,999"," ～￥999","ビストロ、イタリアン、ワインバー","
                ワインビストロ cham
              ","22","3.18","3.12","3.14"
"dict","￥2,000～￥2,999"," ～￥999","カレーライス、ネパール料理、インドカレー","
                マナカマナ インドネパール料理&バー
              ","1","3.05","-","3.05"
"dict","￥4,000～￥4,999","￥1,000～￥1,999","イタリアン、ダイニングバー、オイスターバー","
                Oyster Bar ジャックポット 品川
              ","115","3.32","3.26","3.14"
"dict","￥5,000～￥5,999","null","ステーキ、ダイニングバー、ビアバー","
                THE DAD BOD 品川店
              ","30","3.51","3.51","3.07"
"dict","￥3,000～￥3,999"," ～￥999","中華料理、刀削麺、担々麺","
                栄華楼 グランドセントラルタワー店
              ","68","3.46","3.48","3.12"
"dict","￥4,000～￥4,999","￥1,000～￥1,999","居酒屋、イタリアン、居酒屋・ダイニングバー（その他）","
                留萌マルシェ 品川イーストワンタワー店
              ","20","3.48","3.41","3.18"
"dict","￥5,000～￥5,999","￥1,000～￥1,999","バイキング、イタリアン、ダイニングバー","
                ガーデンレストラン オールデイ ダイニング
              ","83","3.32","3.25","3.19"
"dict","￥1,000～￥1,999"," ～￥999","イタリアン、洋食・欧風料理（その他）、ダイニングバー","
                テオ
              ","6","3.02","-","3.03"
"dict","￥3,000～￥3,999"," ～￥999","居酒屋、洋食、中華料理","
                DAY・NITE 三田店
              ","9","3.02","3.01","3.03"
"dict","￥4,000～￥4,999","￥1,000～￥1,999","イタリアン、ピザ、バル・バール","
                ドンコナコネリー 品川
              ","5","3.05","3.05","-"
"dict","￥4,000～￥4,999"," ～￥999","居酒屋、鍋（その他）、魚介料理・海鮮料理","
                魚と酒 はなたれ 品川店
              ","43","3.09","3.09","3.08"
"dict","￥4,000～￥4,999","null","居酒屋、魚介料理・海鮮料理、和食（その他）","
                跳魚 別館
              ","22","3.37","3.37","-"
"dict","￥4,000～￥4,999","null","イタリアン、バル・バール、ダイニングバー","
                アントニオ デル ポライオーロ
              ","53","3.57","3.57","-"
"dict","￥2,000～￥2,999"," ～￥999","居酒屋","
                大衆酒場 瀬戸内食堂
              ","3","3.03","-","3.04"
"dict","￥4,000～￥4,999"," ～￥999","中国鍋・火鍋、中華料理、しゃぶしゃぶ","
                小肥羊 品川店
              ","39","3.37","3.32","3.13"
"dict","￥3,000～￥3,999"," ～￥999","居酒屋、魚介料理・海鮮料理、天ぷら","
                地酒とそば・京風おでん 三間堂 品川店
              ","13","3.01","3.02","3.01"
